HCHO Reading,Location,Current Date,Next Date,Year,Month,temperature_2m_mean,apparent_temperature_mean,windspeed_10m_max,et0_fao_evapotranspiration,elevation,precipitation_hours,shortwave_radiation_sum,rain_sum
0.0001030405027441,Colombo,2019-04-06,2019-04-07,2019,4,29.6,34.2,14.9,5.38,16.0,0.0,22.6,0.0
0.00017994348916,Colombo,2019-04-07,2019-04-08,2019,4,29.6,34.4,13.0,4.64,16.0,6.0,19.92,1.0
0.0001938136388473,Colombo,2019-04-08,2019-04-09,2019,4,29.9,34.4,13.8,5.28,16.0,2.0,21.95,0.2
0.0002005766244694,Colombo,2019-04-09,2019-04-10,2019,4,29.7,34.8,14.8,5.15,16.0,4.0,22.78,1.2
0.0002045066130365,Colombo,2019-04-10,2019-04-11,2019,4,29.4,34.9,13.7,4.34,16.0,5.0,19.58,3.7
0.0002787301089676,Colombo,2019-04-11,2019-04-12,2019,4,28.3,34.1,11.7,4.23,16.0,6.0,19.77,5.5
0.000250075849252,Colombo,2019-04-12,2019-04-13,2019,4,29.3,35.1,11.0,4.96,16.0,5.0,22.55,1.0
0.000334870158729,Colombo,2019-04-13,2019-04-14,2019,4,28.9,34.5,11.4,4.81,16.0,5.0,22.26,4.0
0.0001905907485365,Colombo,2019-04-14,2019-04-15,2019,4,28.9,34.4,9.8,4.95,16.0,5.0,22.53,1.6
0.0001905907485365,Colombo,2019-04-15,2019-04-16,2019,4,28.8,34.5,10.3,5.01,16.0,7.0,23.24,4.8
0.0001927819063126,Colombo,2019-04-16,2019-04-17,2019,4,27.8,33.7,12.1,4.04,16.0,14.0,19.43,27.5
0.0001927819063126,Colombo,2019-04-17,2019-04-18,2019,4,27.3,32.8,16.8,3.28,16.0,6.0,15.9,2.7
0.0001927819063126,Colombo,2019-04-18,2019-04-19,2019,4,27.6,33.6,13.0,3.88,16.0,6.0,18.66,7.1
0.0001076937462352,Colombo,2019-04-19,2019-04-20,2019,4,27.3,33.1,13.8,4.2,16.0,12.0,20.74,9.5
0.000144213058033,Colombo,2019-04-20,2019-04-21,2019,4,27.0,32.6,12.0,3.89,16.0,15.0,18.92,23.6
0.0001454167284999,Colombo,2019-04-21,2019-04-22,2019,4,27.7,33.7,9.4,2.75,16.0,7.0,12.66,1.4
0.0001711205695593,Colombo,2019-04-22,2019-04-23,2019,4,28.0,34.0,13.6,3.54,16.0,11.0,16.78,7.0
0.000293224440643,Colombo,2019-04-23,2019-04-24,2019,4,27.7,34.1,12.1,3.82,16.0,6.0,18.56,4.7
0.0001399382956399,Colombo,2019-04-24,2019-04-25,2019,4,28.8,35.1,6.0,4.6,16.0,3.0,21.68,0.8
9.581443666026756e-05,Colombo,2019-04-25,2019-04-26,2019,4,27.7,33.8,13.0,3.67,16.0,10.0,17.79,6.4
